Channel,Signal,AUC,epsilon1,epsilon2,epsilon3
1,glgl1400_neutralino1100,0.539283677643581,0.011933797909408,0.000435540069686,0.000217770034843
,glgl1600_neutralino800,0.540947193855183,0.011803135888502,0.000435540069686,0.000217770034843
,stlp_st1000,0.541293627214029,0.011716027874565,0.000479094076655," 0.00021777003484320557,"
,monotop_200,0.538721195038836,0.010932055749129,0.000435540069686,0.000217770034843
,stop2b1000,0.53732948853406,0.011324041811847,0.000479094076655,0.000217770034843
,sqsq_sq1800_neut800,0.540000527543999,0.011411149825784,0.000435540069686,0.000217770034843
,sqsq1_sq1400,0.54018362812974,0.011628919860627,0.000479094076655,0.000217770034843
,monojet_Zp2000.0_DM_50.0,0.540218038280385,0.011411149825784,0.000479094076655,0.000217770034843
2a,chaneut_cha200_neut50,0.501276634143342,0.015700483091788,0.001207729468599,0
,chaneut_cha250_neut150,0.498055598894729,0.013285024154589,0.001811594202899,0.0006038647343
,chaneut_cha300_neut100,0.498531026270949,0.015096618357488,0.001207729468599,0
,chaneut_cha400_neut200,0.501217721788596,0.009661835748792,0.0006038647343,0.0006038647343
,gluino_1000.0_neutralino_1.0,0.500518932110032,0.01268115942029,0.001811594202899,0
,pp23mt_50,0.499616833927373,0.018115942028986,0.001207729468599,0.0006038647343
,pp24mt_50,0.499310175746131,0.009661835748792,0,0
2b,chacha_cha300_neut140,0.481627965775306,0.004353233830846,0.000621890547264,0
,chacha_cha400_neut60,0.482584738837419,0.004353233830846,0.000621890547264,0
,chacha_cha600_neut200,0.485493834927957,0.00393864013267,0.000621890547264,0
,chaneut_cha200_neut50,0.481035116234342,0.004145936981758,0.000621890547264,0
,chaneut_cha250_neut150,0.484767754052878,0.004353233830846,0.000621890547264,0
,gluino_1000.0_neutralino_1.0,0.481259332785155,0.003731343283582,0.000414593698176,0
,pp23mt_50,0.48261488725726,0.004145936981758,0.000621890547264,0
,pp24mt_50,0.484343209624668,0.004145936981758,0.000414593698176,0
,stlp_st1000,0.483475549972837,0.00393864013267,0.000414593698176,0
3,glgl1400_neutralino1100,0.547104521673387,0.009043778801843,0.000864055299539,2.88E-05
,glgl1600_neutralino800,0.547127877160138,0.009029377880184,0.000864055299539,2.88E-05
,gluino_1000.0_neutralino_1.0,0.547124159679219,0.009043778801843,0.000864055299539,2.88E-05
,monoV_Zp2000.0_DM_1.0 ,0.54714282359771,0.009029377880184,0.000864055299539,2.88E-05
,monojet_Zp2000.0_DM_50.0,0.547128979042159,0.009029377880184,0.000864055299539,2.88E-05
,monotop_200_A,0.547106083606351,0.009043778801843,0.000864055299539,2.88E-05
,sqsq1_sq1400_neut800,0.547106274724582,0.009043778801843,0.000864055299539,2.88E-05
,sqsq_sq1800_neut800,0.547128197256625,0.009043778801843,0.000864055299539,2.88E-05
,stlp_st1000,0.547115464641237,0.009029377880184,0.000864055299539,2.88E-05
,stop2b1000_neutralino300,0.547126179007956,0.009043778801843,0.000864055299539,2.88018433179723E-05
